"Adams, Alma",@RepAdams,NC,D
"Aderholt, Robert",@Robert_Aderholt,AL,R
"Aguilar, Pete",@RepPeteAguilar,CA,D
"Allen, Rick W.",@RepRickAllen,GA,R
"Allred, Colin",@RepColinAllred,TX,D
"Amodei, Mark",@MarkAmodeiNV2,NV,R
"Armstrong, Kelly",@RepArmstrongND,ND,R
"Arrington, Jodey",@RepArrington,TX,R
"Auchincloss, Jake",@RepAuchincloss,MA,D
"Axne, Cindy",@RepCindyAxne,IA,D
"Babin, Brian",@RepBrianBabin,TX,R
"Bacon, Don",@RepDonBacon,NE,R
"Baird, Jim",@RepJimBaird,IN,R
"Balderson, Troy",@RepBalderson,OH,R
"Banks, Jim",@RepJimBanks,IN,R
"Barr, Andy",@RepAndyBarr,KY,R
"Barragán, Nanette D.",@RepBarragan,CA,D
"Bass, Karen",@RepKarenBass,CA,D
"Beatty, Joyce",@RepBeatty,OH,D
"Bentz, Cliff",@RepBentz,OR,R
"Bera, Ami",@RepBera,CA,D
"Bergman, Jack",@RepJackBergman,MI,R
"Beyer, Don",@RepDonBeyer,VA,D
"Bice, Stephanie",@RepBice,OK,R
"Biggs, Andy",@RepAndyBiggsAZ,AZ,R
"Bilirakis, Gus",@RepGusBilirakis,FL,R
"Bishop, Dan",@RepDanBishop,NC,R
"Bishop, Sanford, Jr.",@SanfordBishop,GA,D
"Blumenauer, Earl",@repblumenauer,OR,D
"Blunt Rochester, Lisa",@RepLBR,DE,D
"Boebert, Lauren",@RepBoebert,CO,R
"Bonamici, Suzanne",@RepBonamici,OR,D
"Bost, Mike",@RepBost,IL,R
"Bourdeaux, Carolyn",@RepBourdeaux,GA,D
"Bowman, Jamaal",@RepBowman,NY,D
"Boyle, Brendan",@CongBoyle,PA,D
"Brady, Kevin",@RepKevinBrady,TX,R
"Brooks, Mo",@RepMoBrooks,AL,R
"Brown, Anthony",@RepAnthonyBrown,MD,D
"Brownley, Julia",@RepBrownley,CA,D
"Buchanan, Vern",@VernBuchanan,FL,R
"Buck, Ken",@RepKenBuck,CO,R
"Bucshon, Larry",@RepLarryBucshon,IN,R
"Budd, Ted",@RepTedBudd,NC,R
"Burchett, Tim",@RepTimBurchett,TN,R
"Burgess, Michael",@michaelcburgess,TX,R
"Bush, Cori",@RepCori,MO,D
"Bustos, Cheri",@RepCheri,IL,D
"Butterfield, G. K.",@GKButterfield,NC,D
"Calvert, Ken",@KenCalvert,CA,R
"Cammack, Kat",@RepKatCammack,FL,R
"Carbajal, Salud",@RepCarbajal,CA,D
"Cárdenas, Tony",@RepCardenas,CA,D
"Carl, Jerry",@RepJerryCarl,AL,R
"Carson, André",@RepAndreCarson,IN,D
"Carter, Buddy",@RepBuddyCarter,GA,R
"Carter, John",@JudgeCarter,TX,R
"Cartwright, Matt",@RepCartwright,PA,D
"Case, Ed",@RepEdCase,HI,D
"Casten, Sean",@RepCasten,IL,D
"Castor, Kathy",@USRepKCastor,FL,D
"Castro, Joaquin",@JoaquinCastrotx,TX,D
"Cawthorn, Madison",@RepCawthorn,NC,R
"Chabot, Steve",@RepSteveChabot,OH,R
"Cheney, Liz",@RepLizCheney,WY,R
"Chu, Judy",@RepJudyChu,CA,D
"Cicilline, David",@RepCicilline,RI,D
"Clark, Katherine",@RepKClark,MA,D
"Clarke, Yvette D.",@RepYvetteClarke,NY,D
"Cleaver, Emanuel",@repcleaver,MO,D
"Cline, Ben",@RepBenCline,VA,R
"Cloud, Michael",@RepCloudTX,TX,R
"Clyburn, James E.",@WhipClyburn,SC,D
"Clyburn, James E.",@WhipClyburn,SC,D
"Cohen, Steve",@RepCohen,TN,D
"Cole, Tom",@TomColeOK04,OK,R
"Comer, James",@RepJamesComer,KY,R
"Connolly, Gerry",@GerryConnolly,VA,D
"Cooper, Jim",@repjimcooper,TN,D
"Correa, Lou",@RepLouCorrea,CA,D
"Costa, Jim",@RepJimCosta,CA,D
"Courtney, Joe",@RepJoeCourtney,CT,D
"Craig, Angie",@RepAngieCraig,MN,D
"Crawford, Rick",@RepRickCrawford,AR,R
"Crenshaw, Dan",@RepDanCrenshaw,TX,R
"Crist, Charlie",@RepCharlieCrist,FL,D
"Crow, Jason",@RepJasonCrow,CO,D
"Cuellar, Henry",@RepCuellar,TX,D
"Curtis, John",@RepJohnCurtis,UT,R
"Davids, Sharice",@RepDavids,KS,D
"Davidson, Warren",@WarrenDavidson,OH,R
"Davis, Danny K.",@RepDannyDavis,IL,D
"Davis, Rodney",@RodneyDavis,IL,R
"Dean, Madeleine",@RepDean,PA,D
"DeFazio, Peter",@RepPeterDeFazio,OR,D
"DeGette, Diana",@RepDianaDeGette,CO,D
"DeLauro, Rosa",@rosadelauro,CT,D
"DelBene, Suzan",@RepDelBene,WA,D
"Delgado, Antonio",@repdelgado,NY,D
"Demings, Val",@RepValDemings,FL,D
"DeSaulnier, Mark",@RepDeSaulnier,CA,D
"DesJarlais, Scott",@DesJarlaisTN04,TN,R
"Deutch, Ted",@RepTedDeutch,FL,D
"Diaz-Balart, Mario",@MarioDB,FL,R
"Dingell, Debbie",@RepDebDingell,MI,D
"Doggett, Lloyd",@RepLloydDoggett,TX,D
"Donalds, Byron",@RepDonaldsPress,FL,R
"Doyle, Mike",@USRepMikeDoyle,PA,D
"Duncan, Jeff",@RepJeffDuncan,SC,R
"Dunn, Neal",@DrNealDunnFL2,FL,R
"Emmer, Tom",@RepTomEmmer,MN,R
"Escobar, Veronica",@RepEscobar,TX,D
"Eshoo, Anna",@RepAnnaEshoo,CA,D
"Espaillat, Adriano",@RepEspaillat,NY,D
